DX-Y.NYB,USDBRL=X,USDCLP=X,USDCOP=X,USDMXN=X
89.63999938964844,2.930999994277954,596.7000122070312,2765.0,11.289999961853027
89.5,2.930999994277954,594.3300170898438,2751.800048828125,11.244999885559082
89.5999984741211,2.943000078201294,583.719970703125,2765.60009765625,11.187999725341797
89.13999938964844,2.934000015258789,588.1799926757812,2751.300048828125,11.196999549865723
88.75,2.940000057220459,607.1099853515625,2750.60009765625,11.20199966430664
88.61000061035156,2.933000087738037,607.1099853515625,2755.39990234375,11.161999702453613
88.8499984741211,2.941999912261963,607.1099853515625,2763.699951171875,11.206999778747559
88.87999725341797,2.936000108718872,607.1099853515625,2749.5,11.109000205993652
88.48999786376953,2.934999942779541,581.739990234375,2760.199951171875,11.265000343322754
88.45999908447266,2.9189999103546143,580.1599731445312,2754.10009765625,11.289600372314453
88.30999755859375,2.936000108718872,577.6900024414062,2739.0,11.23900032043457
87.94000244140625,2.930000066757202,582.969970703125,2737.699951171875,11.208000183105469
87.8499984741211,2.931999921798706,585.4500122070312,2741.699951171875,11.228099822998047
88.11000061035156,2.9230000972747803,597.260009765625,2747.5,11.220000267028809
87.98999786376953,2.9189999103546143,597.260009765625,2754.699951171875,11.270000457763672
87.98999786376953,2.9070000648498535,597.260009765625,2752.300048828125,11.246000289916992
87.0,2.9010000228881836,582.2000122070312,2719.199951171875,11.199000358581543
86.91999816894531,2.875999927520752,575.5700073242188,2724.0,11.057000160217285
86.06999969482422,2.8529999256134033,568.2100219726562,2718.5,10.982000350952148
85.62999725341797,2.865999937057495,554.77001953125,2713.0,10.890000343322754
86.19999694824219,2.8580000400543213,548.010009765625,2693.39990234375,10.911999702453613
85.56999969482422,2.8540000915527344,550.4000244140625,2702.10009765625,10.85099983215332
85.11000061035156,2.8299999237060547,547.4600219726562,2697.699951171875,10.795000076293945
85.55000305175781,2.7899999618530273,540.989990234375,2714.300048828125,10.805999755859375
85.51000213623047,2.805000066757202,544.7899780273438,2714.300048828125,10.833999633789062
86.02999877929688,2.818000078201294,551.4299926757812,2692.800048828125,10.812999725341797
86.55999755859375,2.812999963760376,552.75,2682.800048828125,10.800000190734863
87.7300033569336,2.8269999027252197,556.7100219726562,2680.5,10.8149995803833
87.66000366210938,2.8380000591278076,555.8800048828125,2678.10009765625,10.78499984741211
86.70999908447266,2.8380000591278076,551.6500244140625,2677.800048828125,10.857000350952148
86.36000061035156,2.8429999351501465,548.3800048828125,2676.89990234375,10.954999923706055
85.81999969482422,2.828000068664551,548.7999877929688,2687.0,11.055999755859375
86.55999755859375,2.8399999141693115,553.2899780273438,2698.10009765625,10.850000381469727
87.25,2.8440001010894775,557.4500122070312,2710.699951171875,10.892999649047852
86.27999877929688,2.868000030517578,563.3900146484375,2692.199951171875,10.918000221252441
86.97000122070312,2.8940000534057617,559.4500122070312,2674.199951171875,10.97700023651123
87.58000183105469,2.930000066757202,570.4400024414062,2690.60009765625,11.074999809265137
87.19999694824219,2.931999921798706,581.4500122070312,2688.300048828125,11.04800033569336
87.52999877929688,2.940999984741211,565.0800170898438,2678.699951171875,10.979000091552734
86.79000091552734,2.9159998893737793,563.97998046875,2701.800048828125,11.090999603271484
86.83999633789062,2.9179999828338623,563.97998046875,2701.800048828125,11.145000457763672
86.9000015258789,2.930000066757202,569.6599731445312,2690.800048828125,11.164999961853027
86.0199966430664,2.931999921798706,577.7100219726562,2698.699951171875,11.135000228881836
86.0,2.9240000247955322,576.6599731445312,2715.39990234375,11.11400032043457
85.83999633789062,2.9179999828338623,569.9099731445312,2682.39990234375,11.092000007629395
85.19999694824219,2.9049999713897705,564.6900024414062,2683.800048828125,10.951000213623047
85.29000091552734,2.8949999809265137,564.1099853515625,2682.800048828125,10.9399995803833
85.55999755859375,2.9040000438690186,557.4500122070312,2674.300048828125,10.930000305175781
85.47000122070312,2.9059998989105225,560.6300048828125,2666.10009765625,10.91100025177002
85.0199966430664,2.9159998893737793,559.6900024414062,2661.89990234375,10.878000259399414
85.87999725341797,2.940000057220459,555.0599975585938,2667.800048828125,10.96500015258789
85.94999694824219,2.9570000171661377,575.510009765625,2638.699951171875,10.930000305175781
87.23999786376953,2.9570000171661377,561.0900268554688,2648.199951171875,10.920000076293945
87.04000091552734,2.9570000171661377,578.510009765625,2629.0,11.031000137329102
86.13999938964844,2.9570000171661377,572.0599975585938,2597.89990234375,11.069999694824219
87.25,2.938999891281128,568.5900268554688,2611.800048828125,11.03600025177002
87.68000030517578,2.930000066757202,588.760009765625,2601.199951171875,11.036999702453613
87.30999755859375,2.9049999713897705,594.7100219726562,2641.199951171875,11.041999816894531
87.5199966430664,2.8929998874664307,572.489990234375,2625.699951171875,10.958000183105469
88.83000183105469,2.890000104904175,568.0499877929688,2603.39990234375,10.9399995803833
89.02999877929688,2.88700008392334,577.5900268554688,2612.5,11.041999816894531
89.13999938964844,2.888000011444092,586.2899780273438,2612.5,10.918999671936035
88.18000030517578,2.865999937057495,580.5999755859375,2625.10009765625,10.899999618530273
88.0,2.872999906539917,575.0999755859375,2614.60009765625,10.930999755859375
88.29000091552734,2.878999948501587,575.489990234375,2622.699951171875,10.916999816894531
88.94999694824219,2.9000000953674316,574.9299926757812,2622.199951171875,10.949000358581543
88.51000213623047,2.9070000648498535,601.1599731445312,2629.10009765625,11.0
89.12000274658203,2.8989999294281006,598.1099853515625,2624.39990234375,10.940999984741211
88.80999755859375,2.9030001163482666,598.1099853515625,2615.10009765625,11.0
88.58999633789062,2.8970000743865967,598.1099853515625,2590.699951171875,11.006999969482422
