7.728,2.09,1.1738,1.2079,5.596,7.8108,44.08,116.77,11.158,3.5115,6.1113,6.9674,1.5254,32.8,33.1,1.2582,0.7515,0.5149,1.4333,7.475
7.7355,2.079,1.175,1.2125,5.6001,7.8124,44.04,117.58,11.149,3.5015,6.1271,6.986,1.5251,32.95,33.11,1.2506,0.7519,0.5139,1.4243,7.4265
7.732,2.0753,1.1638,1.2137,5.6032,7.8124,43.53,117.32,11.1075,3.4956,6.1573,6.9862,1.5259,32.75,33.13,1.2475,0.7524,0.5107,1.4198,7.3965
7.735,2.072,1.1578,1.2151,5.5986,7.8107,43.28,117.83,11.0795,3.47,6.1586,6.985,1.523,31.9,33.11,1.2477,0.7516,0.5103,1.4194,7.347
7.7286,2.0555,1.1574,1.2115,5.5752,7.8093,43.52,117.79,11.014,3.4695,6.0967,6.9622,1.5176,31.8,32.99,1.2372,0.7486,0.5083,1.3994,7.186
7.729,2.067,1.1601,1.2169,5.5996,7.8105,43.56,117.82,11.013,3.4575,6.1007,6.9821,1.5177,32.1,33.04,1.2404,0.7518,0.5094,1.4037,7.2205
7.7396,2.061,1.1627,1.2144,5.5862,7.813,43.2,117.84,11.0255,3.453,6.0864,6.9786,1.5151,32.45,33.06,1.235,0.7499,0.5078,1.3963,7.228
7.7334,2.0612,1.1584,1.213,5.5756,7.813,43.03,117.8,11.0495,3.4527,6.0994,6.9776,1.5156,31.92,33.06,1.2362,0.7487,0.5085,1.392,7.2415
7.7318,2.074,1.1579,1.2147,5.5874,7.8139,42.78,116.83,11.0875,3.4615,6.0802,7.0101,1.5174,31.95,33.06,1.2401,0.7501,0.5099,1.4071,7.35
7.728,2.054,1.1577,1.2166,5.5849,7.8127,43.45,117.75,11.058,3.45,6.091,6.9898,1.5174,32.3,33.08,1.2379,0.7499,0.5095,1.3996,7.2907
7.7232,2.058,1.153,1.2126,5.5709,7.8137,43.1,117.56,11.0427,3.456,6.0774,6.9837,1.5173,32.25,33.01,1.234,0.7477,0.508,1.397,7.29
7.7296,2.0465,1.1556,1.2139,5.5692,7.8155,43.05,117.69,11.0305,3.458,6.0992,7.0057,1.5208,32.45,33.06,1.2246,0.7477,0.5054,1.3862,7.28
7.7267,2.037,1.1573,1.2192,5.5749,7.8153,43.04,118.83,10.9785,3.46,6.1114,7.0035,1.5184,32.45,33.12,1.2299,0.7483,0.5055,1.3872,7.175
7.7345,2.0308,1.1583,1.2194,5.5757,7.8166,42.84,118.72,10.9965,3.455,6.1178,6.96,1.5145,32.17,33.05,1.2225,0.7483,0.5062,1.3879,7.171
7.725,2.0304,1.1509,1.2145,5.5518,7.8162,42.76,118.66,10.99,3.449,6.0698,6.9073,1.5127,32.2,33.06,1.2206,0.7448,0.5074,1.3831,7.131
7.7248,2.0306,1.1511,1.2215,5.5743,7.8174,42.74,119.33,10.97,3.448,6.093,6.9355,1.5134,32.43,33.14,1.2229,0.7474,0.5088,1.3848,7.125
7.729,2.0215,1.1522,1.225,5.5772,7.8175,42.65,119.28,10.971,3.445,6.1007,6.9452,1.5133,32.4,33.06,1.2244,0.7481,0.51,1.3879,7.1125
7.7304,2.031,1.1479,1.2165,5.5491,7.8124,42.65,119.07,11.0161,3.4465,6.0259,6.9003,1.5163,32.6,33.11,1.2121,0.7443,0.5072,1.3716,7.1525
7.7317,2.0305,1.1449,1.2194,5.5489,7.8129,42.69,119.36,10.988,3.449,6.0259,6.9027,1.5175,32.19,33.12,1.2108,0.7443,0.5054,1.3731,7.133
